PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,,,
LS1_CA01:CAV1_D1127:PHA_CSET,PHA,PHASE,setpoint,3,0.24,LS1_CA01:CAV1_D1127,0.4580865,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV1_D1127:PHA_RSET,PHA,PHASE,readset,3,0.24,LS1_CA01:CAV1_D1127,0.4580865,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV1_D1127:PHA_RD,PHA,PHASE,readback,3,0.24,LS1_CA01:CAV1_D1127,0.4580865,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV1_D1127:AMPL_CSET,AMP,AMPLITUDE,setpoint,3,0.24,LS1_CA01:CAV1_D1127,0.4580865,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV1_D1127:AMPL_RSET,AMP,AMPLITUDE,readset,3,0.24,LS1_CA01:CAV1_D1127,0.4580865,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV1_D1127:AMPL_RD,AMP,AMPLITUDE,readback,3,0.24,LS1_CA01:CAV1_D1127,0.4580865,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:BPM_D1129:X_RD,X,XPOS,readback,6,0,LS1_CA01:BPM_D1129,0.526278,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:BPM_D1129:Y_RD,Y,YPOS,readback,6,0,LS1_CA01:BPM_D1129,0.526278,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:BPM_D1129:PHA_RD,PHA,PHASE,readback,6,0,LS1_CA01:BPM_D1129,0.526278,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:BPM_D1129:ENG_RD,ENG,ENERGY,readback,6,0,LS1_CA01:BPM_D1129,0.526278,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:SOL1_D1132:I_CSET,I,B,setpoint,9,0.2,LS1_CA01:SOL1_D1132,0.8853645,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:SOL1_D1132:I_RSET,I,B,readset,9,0.2,LS1_CA01:SOL1_D1132,0.8853645,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:SOL1_D1132:I_RD,I,B,readback,9,0.2,LS1_CA01:SOL1_D1132,0.8853645,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
_#_C7SR_CMTF:PSC1_N0001:I_CSET,I,ANG,setpoint,9,0,LS1_CA01:DCH_D1132,0.7853645,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
_#_C7SR_CMTF:PSC1_N0001:I_RSET,I,ANG,readset,9,0,LS1_CA01:DCH_D1132,0.7853645,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
_#_C7SR_CMTF:PSC1_N0001:I_RD,I,ANG,readback,9,0,LS1_CA01:DCH_D1132,0.7853645,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
_#_C7SR_CMTF:PSC2_N0001:I_CSET,I,ANG,setpoint,9,0,LS1_CA01:DCV_D1132,0.7853645,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
_#_C7SR_CMTF:PSC2_N0001:I_RSET,I,ANG,readset,9,0,LS1_CA01:DCV_D1132,0.7853645,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
_#_C7SR_CMTF:PSC2_N0001:I_RD,I,ANG,readback,9,0,LS1_CA01:DCV_D1132,0.7853645,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV2_D1136:PHA_CSET,PHA,PHASE,setpoint,12,0.24,LS1_CA01:CAV2_D1136,1.2997695,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV2_D1136:PHA_RSET,PHA,PHASE,readset,12,0.24,LS1_CA01:CAV2_D1136,1.2997695,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
